Season,Team,Owner,Player Name,Position,NFL Team,,,,,,,,,
2012,Team McFarland,Ken,Davone Bess,WR,MIA,,,,,,,,,
2012,Eat The Sandwich,Spencer,Jacquizz Rodgers,RB,ATL,,,,,,,,,
2012,Salsa Dancing,Tom,Brandon Gibson,WR,LAR,,,,,,,,,
2012,Gotham City Rogues,Dan,Bryce Brown,RB,PHI,,,,,,,,,
2012,The Elite Eli's,Gavin,Domenik Hixon,WR,NYG,,,,,,,,,
2012,Rapid City Monuments,TSizz,Anthony Fasano,TE,MIA,,,,,,,,,
2012,The Thirteenth District,James,Colin Kaepernick,QB,SF,,,,,,,,,
2012,Former ShepaugTeacher,Spear,Ryan Grant,RB,GB,,,,,,,,,
2012,Team No College Yet,Dylan,Mike Williams,WR,TB,,,,,,,,,
2012,Team Charles,Charles,Evan Royster,RB,WAS,,,,,,,,,
2012,Best Served Hot,Ed,Russel Wilson,QB,SEA,,,,,,,,,
2012,Wearing Sperrys Popping Cherrys,Carson,Danny Woodhead,RB,NE,,,,,,,,,
2012,Eat The Sandwich,Spencer,Andre Brown,RB,NYG,,,,,,,,,
2012,Gotham City Rogues,Dan,DeDean Jackson,WR,PHI,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Jay Cutler,QB,MIA,,,,,,,,,
2013,Eat The Sandwich,Spencer,Cam Newton,QB,CAR,,,,,,,,,
2013,Salsa Dancing,Tom,Colin Kaepernick,QB,SF,,,,,,,,,
2013,Gotham City Rogues,Dan,Nick Foles,QB,PHI,,,,,,,,,
2013,The Elite Eli's,Gavin,Alex Smith,QB,KC,,,,,,,,,
2013,Rapid City Monuments,TSizz,Drew Brees,QB,NO,,,,,,,,,
2013,The Thirteenth District,James,Matthew Stafford,QB,DET,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Andrew Luck,QB,IND,,,,,,,,,
2013,Team No College Yet,Dylan,Tony Romo,QB,DAL,,,,,,,,,
2013,Team Charles,Charles,Russell Wilson,QB,SEA,,,,,,,,,
2013,Best Served Hot,Ed,Matt Ryan,QB,ATL,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Peyton Manning,QB,DEN,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Danny Woodhead,RB,LAC,,,,,,,,,
2013,Eat The Sandwich,Spencer,Matt Forte,RB,DAL,,,,,,,,,
2013,Salsa Dancing,Tom,Ryan Mathews,RB,LAC,,,,,,,,,
2013,Gotham City Rogues,Dan,Frank Gore,RB,SF,,,,,,,,,
2013,The Elite Eli's,Gavin,Jamaal Charles,RB,KC,,,,,,,,,
2013,Rapid City Monuments,TSizz,DeMarco Murray,RB,DAL,,,,,,,,,
2013,The Thirteenth District,James,LeSean McCoy,RB,PHI,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Steven Jackson,RB,ATL,,,,,,,,,
2013,Team No College Yet,Dylan,Marshawn Lynch,RB,SEA,,,,,,,,,
2013,Team Charles,Charles,Chris Johnson,RB,NYJ,,,,,,,,,
2013,Best Served Hot,Ed,Adrian Peterson,RB,MIN,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Reggie Bush,RB,DET,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Rashad Jennings,RB,NYG,,,,,,,,,
2013,Eat The Sandwich,Spencer,Darren Sproles,RB,PHI,,,,,,,,,
2013,Salsa Dancing,Tom,Andre Brown,RB,HOU,,,,,,,,,
2013,Gotham City Rogues,Dan,Zac Stacy,RB,LAR,,,,,,,,,
2013,The Elite Eli's,Gavin,Pierre Thomas,RB,NO,,,,,,,,,
2013,Rapid City Monuments,TSizz,Knowshon Moreno,RB,MIA,,,,,,,,,
2013,The Thirteenth District,James,Fred Jackson,RB,BUF,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Darren McFadden,RB,LV,,,,,,,,,
2013,Team No College Yet,Dylan,Lamar Miller,RB,MIA,,,,,,,,,
2013,Team Charles,Charles,Trent Richardson,RB,IND,,,,,,,,,
2013,Best Served Hot,Ed,Alfred Morris,RB,WAS,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Chris Ogbonnaya,RB,CLE,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Nate Washington,WR,TEN,,,,,,,,,
2013,Eat The Sandwich,Spencer,Shane Vereen,RB,NE,,,,,,,,,
2013,Salsa Dancing,Tom,AJ Green,WR,CIN,,,,,,,,,
2013,Gotham City Rogues,Dan,Jonathan Grimes,RB,HOU,,,,,,,,,
2013,The Elite Eli's,Gavin,Riley Cooper,WR,PHI,,,,,,,,,
2013,Rapid City Monuments,TSizz,Donald Brown,RB,LAC,,,,,,,,,
2013,The Thirteenth District,James,Roddy White,WR,ATL,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Eddie Lacy,RB,GB,,,,,,,,,
2013,Team No College Yet,Dylan,Hakeem Nicks,WR,IND,,,,,,,,,
2013,Team Charles,Charles,Anquan Boldin,WR,SF,,,,,,,,,
2013,Best Served Hot,Ed,Ben Tate,RB,CLE,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Dez Bryant,WR,DAL,,,,,,,,,
2013,Caucasion Sasquatch,Ken,James Jones,WR,LV,,,,,,,,,
2013,Eat The Sandwich,Spencer,TY Hilton,WR,IND,,,,,,,,,
2013,Salsa Dancing,Tom,Jordy Nelson,WR,GB,,,,,,,,,
2013,Gotham City Rogues,Dan,Mike Wallace,WR,MIA,,,,,,,,,
2013,The Elite Eli's,Gavin,Dwayne Bowe,WR,KC,,,,,,,,,
2013,Rapid City Monuments,TSizz,Vincent Jackson,WR,TB,,,,,,,,,
2013,The Thirteenth District,James,Pierre Garcon,WR,WAS,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Calvin Johnson,WR,DET,,,,,,,,,
2013,Team No College Yet,Dylan,Larry Fitzgerald,WR,ARI,,,,,,,,,
2013,Team Charles,Charles,Demaryius Thomas,WR,DEN,,,,,,,,,
2013,Best Served Hot,Ed,Marques Colston,WR,NO,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Greg Jennings,WR,MIN,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Kendall Wright,WR,TEN,,,,,,,,,
2013,Eat The Sandwich,Spencer,Harry Douglas,WR,ATL,,,,,,,,,
2013,Salsa Dancing,Tom,Michael Crabtree,WR,SF,,,,,,,,,
2013,Gotham City Rogues,Dan,Julian Edelman,WR,NE,,,,,,,,,
2013,The Elite Eli's,Gavin,Tavon Austin,WR,LAR,,,,,,,,,
2013,Rapid City Monuments,TSizz,Eric Decker,WR,NYJ,,,,,,,,,
2013,The Thirteenth District,James,Keenan Allen,WR,LAC,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Brandon Marshall,WR,DAL,,,,,,,,,
2013,Team No College Yet,Dylan,Andre Johnson,WR,HOU,,,,,,,,,
2013,Team Charles,Charles,Victor Cruz,WR,NYG,,,,,,,,,
2013,Best Served Hot,Ed,Antonio Brown,WR,PIT,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Brandon LaFell,WR,NE,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Charles Clay,TE,MIA,,,,,,,,,
2013,Eat The Sandwich,Spencer,Andre Caldwell,WR,DEN,,,,,,,,,
2013,Salsa Dancing,Tom,Greg Olsen,TE,CAR,,,,,,,,,
2013,Gotham City Rogues,Dan,DeSean Jackson,WR,WAS,,,,,,,,,
2013,The Elite Eli's,Gavin,Jerricho Cotchery,WR,CAR,,,,,,,,,
2013,Rapid City Monuments,TSizz,Ted Ginn,WR,ARI,,,,,,,,,
2013,The Thirteenth District,James,Torrey Smith,WR,BAL,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Cecil Shorts,WR,JAX,,,,,,,,,
2013,Team No College Yet,Dylan,Kyle Rudolph,TE,MIN,,,,,,,,,
2013,Team Charles,Charles,Steve Smith,WR,BAL,,,,,,,,,
2013,Best Served Hot,Ed,Josh Gordon,WR,CLE,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Golden Tate,WR,DET,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Julius Thomas,TE,DEN,,,,,,,,,
2013,Eat The Sandwich,Spencer,Tony Gonzalez,TE,ATL,,,,,,,,,
2013,Salsa Dancing,Tom,Vernon Davis,TE,SF,,,,,,,,,
2013,Gotham City Rogues,Dan,Martellus Bennett,TE,DAL,,,,,,,,,
2013,The Elite Eli's,Gavin,Garrett Graham,TE,HOU,,,,,,,,,
2013,Rapid City Monuments,TSizz,Zach Ertz,TE,PHI,,,,,,,,,
2013,The Thirteenth District,James,Antonio Gates,TE,LAC,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Jermaine Gresham,TE,CIN,,,,,,,,,
2013,Team No College Yet,Dylan,Jimmy Graham,TE,NO,,,,,,,,,
2013,Team Charles,Charles,Jared Cook,TE,LAR,,,,,,,,,
2013,Best Served Hot,Ed,Dallas Clark,TE,IND,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Jason Witten,TE,DAL,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Colts D/ST,DEF,IND,,,,,,,,,
2013,Eat The Sandwich,Spencer,Browns D/ST,DEF,CLE,,,,,,,,,
2013,Salsa Dancing,Tom,Ravens D/ST,DEF,BAL,,,,,,,,,
2013,Gotham City Rogues,Dan,Panthers D/ST,DEF,CAR,,,,,,,,,
2013,The Elite Eli's,Gavin,Patriots D/ST,DEF,NE,,,,,,,,,
2013,Rapid City Monuments,TSizz,Seahwaks D/ST,DEF,SEA,,,,,,,,,
2013,The Thirteenth District,James,Chiefs D/ST,DEF,KC,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Broncos D/ST,DEF,DEN,,,,,,,,,
2013,Team No College Yet,Dylan,Packers D/ST,DEF,GB,,,,,,,,,
2013,Team Charles,Charles,Rams D/ST,DEF,LAR,,,,,,,,,
2013,Best Served Hot,Ed,Bears D/ST,DEF,CHI,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Bengals D/ST,DEF,CIN,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Steven Hauschka,K,SEA,,,,,,,,,
2013,Eat The Sandwich,Spencer,Justin Tucker,K,BAL,,,,,,,,,
2013,Salsa Dancing,Tom,Robbie Gould,K,DAL,,,,,,,,,
2013,Gotham City Rogues,Dan,BKair Walsh,K,MIN,,,,,,,,,
2013,The Elite Eli's,Gavin,Mason Crosby,K,GB,,,,,,,,,
2013,Rapid City Monuments,TSizz,Greg Zuerlein,K,LAR,,,,,,,,,
2013,The Thirteenth District,James,Nick Novak,K,LAC,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Randy Bullock,K,HOU,,,,,,,,,
2013,Team No College Yet,Dylan,Dan Bailey,K,DAL,,,,,,,,,
2013,Team Charles,Charles,Matt Prater,K,DEN,,,,,,,,,
2013,Best Served Hot,Ed,Phil Dawson,K,SF,,,,,,,,,
