year,week,team,team_owner,team_score,opponent,opponent_owner,opponent_score,result,is_playoff,bracket_type,playoff_round,team_seed,opponent_seed
2013,11,Team No College Yet,Dylan,96.80,Best Served Hot,Ed,151.50,LOSS,FALSE,,,,
2013,12,Salsa Dancing,Tom,114.70,Gotham City Rogues,Dan,117.70,LOSS,FALSE,,,,
2013,12,Former ShepaugTeacher,Spear,142.50,Eat The Sandwich,Spencer,102.80,WIN,FALSE,,,,
2013,12,Wearing Sperrys Popping Cherrys,Carson,90.90,Caucasion Sasquatch,Ken,153.20,LOSS,FALSE,,,,
2013,12,The Elite Eli's,Gavin,138.30,The Thirteenth District,James,107.50,WIN,FALSE,,,,
2013,12,Team Charles,Charles,108.80,Best Served Hot,Ed,134.80,LOSS,FALSE,,,,
2013,12,Team No College Yet,Dylan,85.20,Rapid City Monuments,Tsizz,119.70,LOSS,FALSE,,,,
2013,13,Eat The Sandwich,Spencer,139.50,Salsa Dancing,Tom,113.50,WIN,FALSE,,,,
2013,13,Caucasion Sasquatch,Ken,87.30,Former ShepaugTeacher,Spear,92.80,LOSS,FALSE,,,,
2013,13,The Thirteenth District,James,141.60,Wearing Sperrys Popping Cherrys,Carson,150.60,LOSS,FALSE,,,,
2013,13,Best Served Hot,Ed,178.20,The Elite Eli's,Gavin,110.40,WIN,FALSE,,,,
2013,13,Rapid City Monuments,Tsizz,195.60,Team Charles,Charles,127.50,WIN,FALSE,,,,
2013,13,Gotham City Rogues,Dan,109.40,Team No College Yet,Dylan,102.00,WIN,FALSE,,,,
2013,14,Rapid City Monuments,Tsizz,284.10,Gotham City Rogues,Dan,339.30,LOSS,TRUE,Winners,1,1,4
2013,14,Wearing Sperrys Popping Cherrys,Carson,215.70,Eat The Sandwich,Spencer,258.70,LOSS,TRUE,Winners,1,2,3
2013,14,Best Served Hot,Ed,254.10,Former ShepaugTeacher,Spear,239.90,WIN,TRUE,Consolation,1,5,6
2013,14,The Thirteenth District,James,298.00,Salsa Dancing,Tom,274.20,WIN,TRUE,Consolation,1,7,8
